"stock","name","region","scenario","source","bk_method","r_method","priorrlw","priorr","priorrup","postrlw","postr","postrup","priorklw","priork","priorkup","postklw","postk","postkup","priorbklw","priorbk","priorbkup","postbklw","postbk","postbkup","priormsylw","priormsy","priormsyup","postmsylw","postmsy","postmsyup","fmsylw","fmsy","fmsyup","bmsylw","bmsy","bmsyup","ctlast","ctavg5","ffmsylw","ffmsy","ffmsyup","bbmsylw","bbmsy","bbmsyup","PPVRr","RUr","OVLr","BCr","PPVRbk","RUbk","OVLbk","BCbk","viab_rate","mean.log.r","sd.log.r","mean.log.k","sd.log.k"
"seabob_SE_Silva_Base_BRT_Demographic inv","seabob","SE","Base","Silva","BRT","Demographic inv",0.39,0.565024033158776,0.79,0.33,0.413855795641826,0.53,30,61.6852174615329,114,56.74,71.8841752509428,86.87,0.22,0.319599713835972,0.42,0.24,0.339254310595366,0.44,6.43,8.0340755059565,9.64,6.47,7.45,8.33,0.16,0.22,0.27,28.37,33.37,43.43,4.29,4.36,0.56,0.86,1.4,0.48,0.68,0.88,0.598,0.227,0.323,0.624,1.005,-0.002,0.85,0.981,0,-0.588665436689757,0.176471551584344,4.06394228585274,0.336638691980208
"seabob_SE_Freire_Base_NN_Smith rebound","seabob","SE","Base","Freire","NN","Smith rebound",0.26,0.424825457716657,0.66,0.21,0.277552435729555,0.37,32,72.345415698772,143,66.45,84.2367459390631,103.45,0.22,0.320822606796986,0.42,0.24,0.340453261742595,0.45,5.56,6.9529791,8.34,4.82,5.87,6.76,0.11,0.15,0.18,33.23,39.17,51.72,3.11,4.19,0.56,0.88,1.45,0.49,0.68,0.9,0.481,0.307,0.304,0.558,0.98,0.01,0.86,0.982,0.005,-0.881294545964137,0.232889551001236,4.21217013719748,0.375999676066855
"seabob_SE_Freire_Base_NN_Myers","seabob","SE","Base","Freire","NN","Myers",0.15,0.303073868170539,0.55,0.13,0.17629724340613,0.25,41,106.630539866542,233,89.77,121.38997643615,160.29,0.22,0.320671016318059,0.42,0.24,0.330089130079008,0.43,5.56,6.9529791,8.34,4.31,5.43,6.49,0.06,0.1,0.12,44.89,56.77,80.14,3.11,4.19,0.62,1,1.7,0.47,0.66,0.87,0.316,0.438,0.304,0.584,0.972,0.014,0.925,0.995,0.018,-1.24747849282075,0.324820746032565,4.57703776544164,0.437451964793464
"seabob_SE_Freire_Base_NN_Euler","seabob","SE","Base","Freire","NN","Euler",0.72,0.904843612627583,1.12,0.63,0.749284171704671,0.9,17,32.8168590366877,58,32.44,38.1110032331272,44.13,0.22,0.319558750329743,0.42,0.24,0.344505827808439,0.45,5.56,6.9529791,8.34,6.43,7.17,7.94,0.31,0.4,0.45,16.22,18.11,22.06,3.11,4.19,0.47,0.7,1.12,0.48,0.69,0.9,0.774,0.12,0.369,0.661,0.962,0.019,0.801,0.971,0,-0.107587690832516,0.11045818806976,3.44371744010471,0.305466501246224
"seabob_SE_Freire_Base_NN_Demographic inv","seabob","SE","Base","Freire","NN","Demographic inv",0.39,0.563537202305975,0.79,0.32,0.401956881605032,0.52,25,52.9858722155832,99,50.38,63.4568747685303,75.7,0.22,0.319651853225396,0.42,0.24,0.339882516538927,0.44,5.56,6.9529791,8.34,5.44,6.31,7.11,0.16,0.21,0.26,25.19,29.53,37.85,3.11,4.19,0.52,0.8,1.28,0.49,0.68,0.88,0.579,0.239,0.28,0.545,0.9,0.051,0.84,0.98,0.002,-0.588665436689757,0.176471551584344,3.91408230504067,0.339069992812918
"seabob_SE_Freire_Base_BRT_Smith rebound","seabob","SE","Base","Freire","BRT","Smith rebound",0.26,0.423312597018986,0.66,0.21,0.278676229339416,0.39,32,72.4228763089146,141,64.88,84.4190215497337,106.1,0.22,0.320520563104313,0.42,0.25,0.344299810735272,0.44,5.56,6.9529791,8.34,4.88,5.94,6.83,0.1,0.15,0.19,32.44,38.67,53.05,3.11,4.19,0.56,0.86,1.43,0.5,0.69,0.89,0.538,0.267,0.315,0.598,0.915,0.043,0.817,0.973,0.005,-0.881294545964137,0.232889551001236,4.20284967044463,0.373984281674543
"seabob_SE_Freire_Base_BRT_Myers","seabob","SE","Base","Freire","BRT","Myers",0.15,0.301084469329712,0.55,0.13,0.177594482874306,0.25,40,107.278442041163,236,88.51,120.321915408339,159.74,0.22,0.319123350339043,0.42,0.24,0.335573477709899,0.44,5.56,6.9529791,8.34,4.3,5.42,6.42,0.06,0.1,0.13,44.25,55.66,79.87,3.11,4.19,0.61,0.99,1.65,0.49,0.67,0.88,0.335,0.421,0.32,0.606,0.952,0.024,0.874,0.986,0.017,-1.24747849282075,0.324820746032565,4.57993422067487,0.441343921559829
"seabob_SE_Freire_Base_BRT_Euler","seabob","SE","Base","Freire","BRT","Euler",0.72,0.905028874004049,1.12,0.64,0.757533716657621,0.94,16,32.2303218253465,58,31.02,38.0751648496724,44.52,0.22,0.320199412966836,0.42,0.24,0.343677570014697,0.45,5.56,6.9529791,8.34,6.46,7.18,7.88,0.32,0.4,0.47,15.51,17.94,22.26,3.11,4.19,0.45,0.69,1.12,0.48,0.69,0.9,0.86,0.073,0.385,0.702,1.012,-0.006,0.817,0.974,0,-0.107587690832516,0.11045818806976,3.42976268896968,0.317199120200949
"seabob_SE_Freire_Base_BRT_Demographic inv","seabob","SE","Base","Freire","BRT","Demographic inv",0.39,0.563969001516902,0.79,0.32,0.400427084656202,0.53,26,53.2953008899791,99,50.53,63.5041578652287,77.17,0.22,0.320678239051289,0.42,0.25,0.342795999076668,0.45,5.56,6.9529791,8.34,5.45,6.37,7.22,0.16,0.22,0.26,25.26,29.36,38.59,3.11,4.19,0.51,0.8,1.27,0.49,0.68,0.9,0.628,0.207,0.29,0.577,0.976,0.012,0.846,0.977,0.001,-0.588665436689757,0.176471551584344,3.9163689559051,0.337583649996283
"seabob_S_Silva_Base_NN_Smith rebound","seabob","S","Base","Silva","NN","Smith rebound",0.26,0.427202645969496,0.66,0.21,0.283847960238167,0.38,34,76.2023761000569,150,68.84,90.6857321153657,113.15,0.22,0.320072740230234,0.42,0.24,0.331410440721538,0.43,5.86,7.32797918575312,8.79,5.43,6.4,7.3,0.11,0.15,0.19,34.42,42.11,56.57,4.29,4.34,0.65,1,1.66,0.48,0.66,0.86,0.51,0.286,0.324,0.596,0.902,0.05,0.904,0.992,0.004,-0.881294545964137,0.232889551001236,4.26234925981097,0.374447123384221
